ip= 1 ,W-index= 17.2 ,Rc(GV)= 4.381 ,depth(g/cm2)= 1033.23 ,g= 0.15
Total Flux (/cm2/s)= 0.000320322
  Energy(MeV/n)              u              v              w              x              y              z
   1.570553e+03  -2.179033e-01   3.075106e-01  -9.262588e-01   9.031685e+01   3.681642e+01   9.893682e+01
   2.482947e+02  -3.202008e-02  -7.634448e-01  -6.450789e-01   1.985194e+01   7.706451e+01   6.282928e+01
   3.267572e+03  -5.095212e-02   2.179392e-01  -9.746314e-01   2.652749e+01   7.113333e+01   1.171223e+02
   8.548337e+02  -2.588603e-01   3.855153e-01  -8.856463e-01   1.111721e+01   1.957606e+01   1.181838e+02
   7.814563e+00  -1.835407e-01   6.387684e-01  -7.471866e-01   1.799721e+01  -1.032156e+02   4.117567e+01
   3.807570e+01   4.907980e-01  -6.183352e-01  -6.138232e-01  -2.558228e+01   9.296922e+01   4.880580e+01
   2.316792e+02   6.239426e-02  -4.006325e-01  -9.141119e-01  -5.512534e+01   4.321852e+01   8.669152e+01
   8.788143e+02  -2.606118e-01   2.464100e-01  -9.334686e-01   8.662945e+01  -8.259394e+01   6.113904e+01
   1.582916e+03   3.646746e-01  -1.854508e-01  -9.124804e-01  -5.902840e+01  -7.158108e+01   1.005486e+02
   1.008995e+03   1.623991e-01   1.091281e-02  -9.866648e-01   7.877166e+01  -1.580782e+01   1.141420e+02
   1.460468e+02   2.591979e-01   4.974231e-01  -8.278808e-01  -5.198926e+01   6.204547e+00   1.082412e+02
   1.229796e+02  -1.756687e-01  -9.637258e-01  -2.009305e-01   3.020106e+01   1.094094e+02  -5.348134e+01
   4.827257e+02   1.958787e-01  -5.450927e-01  -8.151721e-01   1.035283e+01   1.057476e+02   5.444941e+01
   5.194668e+02  -1.317946e-01   4.980799e-01  -8.570570e-01   7.865956e+01  -7.321434e+01   6.203381e+01
   9.917730e+01   6.552237e-01   6.798214e-02  -7.523698e-01  -3.447126e+01  -7.118395e+01   9.646105e+01
   7.120853e+02   4.477290e-01  -2.811639e-01  -8.488142e-01  -6.614241e+01   8.594219e+01   5.445512e+01
   3.444822e+01   6.876771e-01   3.403884e-01  -6.412768e-01  -7.502910e+01  -6.792764e+01   3.942514e+01
   3.213923e+03   1.149071e-01  -2.243889e-01  -9.677014e-01  -5.255388e+01   5.897068e+00   9.572989e+01
   3.625674e+02  -8.443061e-02  -4.136669e-01  -9.065049e-01   9.419898e+01   1.883468e+01   9.294538e+01
   2.972530e+02   3.443352e-01   3.008844e-01  -8.893266e-01  -3.167507e+00   3.007549e+01   1.213936e+02
   2.246960e+02  -1.581278e-01  -7.192848e-01   6.764798e-01  -3.656132e+01   5.836498e+01  -9.431223e+01
   2.572835e+02   5.328854e-01   7.036777e-02  -8.432565e-01  -2.046923e+01   3.458363e+01   1.085385e+02
   1.927396e+02   2.989074e-01   5.316027e-01  -7.924979e-01  -1.883458e+01  -1.261024e+02   3.449075e+01
   3.572334e+02  -3.605643e-01   4.174793e-01  -8.340890e-01   4.135166e+00  -1.112726e+02   6.240942e+01
   2.689194e+02  -1.780850e-01   1.877306e-02  -9.838360e-01  -5.553162e+01   4.571583e+01   1.125671e+02
   4.242652e+01   1.914681e-01   9.663964e-01  -1.715166e-01  -3.894147e+01  -7.900501e+01   9.441527e+01
   2.396537e+02   1.974772e-01   2.159936e-02  -9.800695e-01  -4.533138e+01  -2.585458e+01   9.232982e+01
   5.144951e+02   2.200376e-01   6.379438e-01  -7.379777e-01   2.210261e+01  -6.096204e+01   8.939707e+01
   1.423375e+03   8.591931e-02  -2.306375e-01  -9.692390e-01   5.481323e+01  -3.247488e+01   1.157603e+02
   4.447493e+02   1.572026e-01  -5.440333e-01  -8.242057e-01  -6.940533e+01   1.066669e+02   3.768349e+01
   8.410525e+02  -3.068329e-01  -1.580044e-01  -9.385564e-01   8.792576e+01   3.417696e+01   7.204828e+01
   1.367780e+02   2.345206e-01  -8.707696e-01   4.321578e-01  -5.207809e+01   9.444510e+01  -1.283488e+01
   2.233418e+02   6.608889e-01   3.900191e-02  -7.494696e-01  -6.252317e+01  -6.997240e+01   7.465289e+01
   1.182059e+02   4.779570e-01  -6.215010e-01  -6.207202e-01  -3.530029e+01   4.599228e+01   8.787169e+01
   2.382231e+02  -5.253194e-01   2.615190e-01  -8.097205e-01   1.256416e+02   1.191063e+01   4.583417e+01
   5.392597e+01   7.170104e-01   4.344285e-01  -5.451312e-01  -7.294112e+01  -1.196739e+02  -7.868391e+00
   9.977791e+01  -4.244806e-01  -1.061528e-01  -8.991929e-01  -3.866456e+01   2.377754e+01   1.266561e+02
   2.616845e+02  -4.653520e-01   8.850090e-01  -1.437423e-02   1.211149e+02  -4.876231e+01   3.366097e+01
   7.311514e+02  -4.125946e-01  -3.432488e-01  -8.437689e-01   7.965398e+01   1.102656e+02   3.470934e+01
   7.321792e+01   6.198030e-01   5.395428e-01  -5.698578e-01  -8.390159e+01  -6.514369e+01   2.254903e+01
   7.225788e+02   3.502696e-01  -7.079429e-01  -6.132928e-01   4.645688e+00   7.746830e+01   7.628348e+01
   1.558634e+02  -6.002037e-01   7.794627e-01  -1.794254e-01   4.156679e+01  -9.397037e+01   1.006024e+01
   2.183586e+02  -2.868452e-01  -7.072005e-01  -6.462099e-01  -2.973204e+01   9.194336e+01   6.732503e+01
